isi,title,author,journal,year,month,volume,number,pages,keyword,keywords_plus,web_of_science_categories,abstract,,,,,
ISI:000356596900002,The Journal of Consumer Research at 40: A Historical Analysis,"Wang, Xin (Shane) and Bendle, Neil T. and Mai, Feng and Cotte, June",JOURNAL OF CONSUMER RESEARCH,2015,JUN,42,1,5$k18$i,Topic Modeling;Journal Of Consumer Research;Historical Analysis;Citation Analysis,,Business,"This article reviews 40 years of the Journal of Consumer Research (JCR). Using text mining, we uncover the key phrases associated with consumer research. We use a topic modeling procedure to uncover 16 topics that have been featured in the journal since its inception and to show the trends in topics over time. For example, we highlight the decline in family decision-making research and the flourishing of social identity and influence research since the journal's inception. A citation analysis shows which JCR articles have had the most impact and compares the topics in top-cited articles with all JCR journal articles. We show that methodological and consumer culture articles tend to be heavily cited. We conclude by investigating the scholars who have been the top contributors to the journal across the four decades of its existence. And to better understand which schools have contributed most to the knowledge of consumer research over this history, we provide an analysis of where these top-performing scholars were trained. Our approach shows that the JCR archives can be an excellent source of data for scholars trying to understand the complicated, challenging, and dynamic field of consumer research.",J1: Others but relevant to marketing (Review article),,,,
ISI:000356596900003,"Lordy, Lordy, Look Who's 40! The Journal of Consumer Research Reaches a Milestone","Rapp, Justine M. and Hill, Ronald Paul",JOURNAL OF CONSUMER RESEARCH,2015,JUN,42,1,19-29,Consumer Research;Historical Review;Methodological Issues,Psychology;Consumption;Diversity;Behavior;Trends,Business,"The Journal of Consumer Research has completed four decades as one of the top journals in the larger field of marketing as well as the premier outlet for research on consumer behavior. This elite status is based, in part, on its stated objective as a multidisciplinary journal that allows for a variety of topics, methods, and populations that are central to collectives of scholars from many social sciences and methodological orientations. While a few articles have reviewed the level of diversity within the journal and among its peers, none to date has taken an expansive look at what is studied, how it is examined, and which consumers are used to determine the validity of our theoretical contributions. Thus this article looks across the life span of JCR to address these issues and finds considerable progress along with major areas that should be addressed by the community of researchers that constitutes our field.",J1: others but relevant to marketing (review articles) ,,,,
ISI:000355553200002,Have We Progressed Marketing Knowledge? A Meta-Meta-Analysis of Effect Sizes in Marketing Research,"Eisend, Martin",JOURNAL OF MARKETING,2015,MAY,79,3,23-40,Marketing Knowledge;Knowledge Accumulation;Effect Size;Meta-Analysis,2Nd-Order Metaanalysis;Scientific Progress;Advertising Works;Publication;Orientation;Performance;Bias;Elasticities;Psychology;Diffusion,Business,"This study measures the value and progress of knowledge produced in marketing research by using meta-analytic effect sizes as a measure of scientific knowledge. The author combines the results of 176 meta-analyses that include data from more than 7,500 primary studies published between 1918 and 2012. The 1,841 meta-analytic effect sizes show that a considerable body of marketing knowledge has been developed, as expressed by a meta-meta-analytic correlation of .24. This medium-sized effect is as strong or stronger than effects that have been found in compilations of meta-analyses in other, more basic fields of inquiry (e.g., psychology), which shows that marketing is a successful academic discipline. The effect sizes vary across subject areas, with pricing showing the strongest effects, followed by consumer behavior; methods and new product development show the weakest effects. This finding reveals different degrees of knowledge production and varying benchmarks to assess the contribution of future research outcomes in these subject areas. Marketing knowledge follows a discontinuous model of progress: knowledge has increased over time, but at a decreasing rate; the marketing field, which is currently characterized by fragmentation and specialization, has reached a stage of maturity. The findings provide implications for further research regarding how to measure, evaluate, and progress knowledge in marketing.",J1: others but relevant to marketing (the effects of marketing knowledge),,,,
ISI:000351308900001,Evolution of Marketing as a Discipline: What Has Happened and What to Look Out For,"Kumar, V.",JOURNAL OF MARKETING,2015,JAN,79,1,1$k9$i,,Customer Relationship Management;Sustainable Competitive Advantage;To-Business Markets;Firm Performance;Lifetime Value;Dynamic-Model;Social Media;Strategy;Impact;Products,Business,"Journal of Marketing (JM) is in the midst of exciting times-times that reflect economic vacillations, quick changes in business environments, and the emergence of new industries and markets. To stay current with and responsive to the changes in the business world-a top priority of JM through the years-future research directions must be precise, rigorous, and relevant. In other words, this is a crucial period for the marketing discipline to reaffirm its position in providing new knowledge and thought that will have a lasting effect on academicians and practitioners.",K1: irrelevant (Editorial),,,,
ISI:000312685900002,Relationship Velocity: Toward A Theory of Relationship Dynamics,"Palmatier, Robert W. and Houston, Mark B. and Dant, Rajiv P. and Grewal, Dhruv",JOURNAL OF MARKETING,2013,JAN,77,1,13-30,Relationship Velocity;Latent Growth Curve;Life Cycle;Commitment Velocity;Theory Of Relationship Dynamics,Cooperative Interorganizational Relationships;Relationship Life-Cycle;Longitudinal Analysis;Marketing Channels;Trust;Performance;Commitment;Metaanalysis;Investments;Perspective,Business,"The dynamic components of relational constructs should play an important role in driving performance. To take an initial step toward a theory of relationship dynamics, the authors introduce the construct of commitment velocity or the rate and direction of change in commitment-and articulate its important role in understanding relationships. In two studies, the authors demonstrate that commitment velocity has a strong impact on performance, beyond the impact of the level of commitment. In Study 1, modeling six years of longitudinal data in a latent growth curve analysis, the authors empirically demonstrate the significance of commitment velocity as a predictor of performance. In Study 2, the authors use matched multiple-source data to investigate the drivers of commitment velocity. Both customer trust and dynamic capabilities for creating value through exchange relationships (i.e., communication capabilities for exploring and investment capabilities for exploiting opportunities) affect commitment velocity. However, trust and communication capabilities become less impactful as a relationship ages, while investment capabilities grow more important. The authors offer three post hoc tenets that represent initial components of a theory of relationship dynamics that integrates two streams of relationship marketing research into a unified perspective.",D10: Customer relationship management,,,,
ISI:000305729400002,Alliance Portfolio Resource Diversity and Firm Innovation,"Cui, Anna S. and O'Connor, Gina",JOURNAL OF MARKETING,2012,JUL,76,4,24-43,Innovation;Resource Diversity;Alliance Portfolio;Alliance Management,International Strategic Alliances;Product Development;Joint Ventures;Financial Performance;Absorptive-Capacity;Marketing Alliances;Network Structure;Value Creation;Impact;Profitability,Business,"As interfirm collaboration plays an increasingly important role in firm innovation, many firms are engaged in multiple partnerships, forming portfolios of alliances. Research in marketing has predominantly focused on dyadic relationships without considering the important interdependencies among different alliances. This study takes a portfolio approach to examine the resource diversity of multiple alliance partners and its contribution to firm innovation. The authors argue that resource diversity in an alliance portfolio can only benefit innovation when resources and information are shared across alliances. They examine factors that may facilitate or inhibit information and resource sharing across alliances and thus influence the realization of any benefit of portfolio resource diversity. The model identifies various factors along three dimensions, including the composition of an alliance portfolio, alliance management, and the market environment, that moderate the relationship between alliance portfolio resource diversity and firm innovation. This study not only demonstrates the conditions for a firm to benefit from diverse partners but also highlights the importance of coordination among different alliances, suggesting a portfolio approach for alliance research.",C5: strategic marketing (organizational alliance and innovation),,,,
ISI:000292065800011,To JM on Its 75th Anniversary,"Bolton, Ruth N.",JOURNAL OF MARKETING,2011,JUL,75,4,129-131,Role Of Marketing;Brand Equity;Business-To-Business;Metrics;Marketing Information;Consumer Behavior;Innovation;Capabilities;Marketing Research;Services,Market Orientation;Radical Innovation;Brand Extensions;Customer Equity;Performance;Profitability;Consequences;Determinants;Insights;Drivers,Business,"This article discusses how Journal of Marketing (JM) has influenced marketing science and practice by publishing articles on substantive topics relevant to customers, managers, organizations, markets, and society. The journal's 75th anniversary coincides with the 50th anniversary of the Marketing Science Institute (MSI). Frequently, JM and MSI have collaborated to address important substantive marketing issues identified in MSI's Research Priorities. The author highlights seminal articles on brand equity; business-to-business marketing (including sales force management); connecting marketing information, metrics, and strategy; consumer behavior; innovation, new product development, and product management; marketing orientation and capabilities; and market research, methodology and services. She also draws attention to articles that have won the Sheth Foundation/JM Award and the H. Paul Root Award. The article describes how JM's knowledge dissemination is amplified by powerful social network effects. Ideas in JM articles diffuse through the business community, influencing the mind-set of managers worldwide.",I5: Theory and philosophy of science (Review/reflection article),,,,
ISI:000292065800014,Sophistication in Research in Marketing,"Lehmann, Donald R. and McAlister, Leigh and Staelin, Richard",JOURNAL OF MARKETING,2011,JUL,75,4,155-165,Priorities;Communication;Relevance;Rigor,Empirical Generalizations;Choice,Business,"Over the years, the level of analytical rigor has risen in articles published in marketing academic journals. While, ceteris paribus, rigor is desirable, there is a growing sense that rigor has become a, if not the, goal for research in marketing. Consequently, other desirable characteristics, such as relevance, communicability, and simplicity, have been downplayed, to the detriment of the field of marketing. The authors explore this imbalance, setting forth the consequences of overemphasis on rigor for (1) the manuscript review process, (2) PhD programs, (3) hiring, and (4) the tenure and promotion review process. Two surveys of successful authors provide empirical support for the conjectures put forth. The authors then identify the causes for this trend and propose some directions to reestablish a better balance between rigor and relevance.",I5: Theory and philosophy of science,,,,
ISI:000292065800017,Bridging the Academic-Practitioner Divide in Marketing Decision Models,"Lilien, Gary L.",JOURNAL OF MARKETING,2011,JUL,75,4,196-210,Decision Models;Marketing Models;Implementation;Marketing Practice;Intermediaries,Practice Prize Winner;Management Support-Systems;Managerial Implications;Packaged Goods;Information;Impact;Implementation;Environment;Technology;Business,Business,"The marketing decision models field has produced many striking developments that have had a dramatic impact on practice. However, the field has produced orders of magnitude more developments that have received minimal use. In this article, the author notes the many successful marketing model developments but then considers the relatively low level of practical use (trial or adoption) and questions why that is the case. He then suggests how changes in the incentive and reward systems for marketing academics, marketing practitioners, and marketing intermediaries can bring about adoption and implementation improvements that would be mutually beneficial, bridging the academic-practitioner divide. The author also outlines a program of research in the area of the adoption and use of marketing decision models that will provide guidance on what to develop and how to get those developments adopted.",J1: Others but relevant to marketing (bridge between academia and business practice of marketing),,,,
ISI:000292065800019,Marketing Scholarship 2.0,"Lutz, Richard J.",JOURNAL OF MARKETING,2011,JUL,75,4,225-234,Scholarship;Open Source;Web 2.0;Academics;Practitioners,,Business,"The system for the design, production, and dissemination of marketing scholarship aimed at contributing to marketing practice is under increasing strain due to pressures exerted by globalization, digitization, and environmentalism. Scholarly research in marketing adheres largely to a twentieth-century manufacturing model. Change is needed now. Marketing scholarship can benefit from embracing a twenty-first-century, collaborative approach to the conception, design, and dissemination of research. Crowdsourcing is becoming a frequently employed strategy in industry. Marketing academe should adopt some of the same techniques and technologies to make stronger research contributions that will benefit marketing practice. In particular, more collaboration is needed, both among academic researchers and between academe and industry, to be sure important problems are being investigated using sound theories and methods. An open, collaborative model will allow the field to evolve from Marketing Scholarship 1.0 to Marketing Scholarship 2.0.",I5: Theory and philosophy of science,,,,
ISI:000286364500001,The Effects of Business and Political Ties on Firm Performance: Evidence from China,"Sheng, Shibin and Zhou, Kevin Zheng and Li, Julie Juan",JOURNAL OF MARKETING,2011,JAN,75,1,1$k15$i,Social Ties;Emerging Economy;Relational Governance;Institutional Theory;Institutional Environment;Guanxi,Marketing Channels;Managerial Ties;Emerging Economies;Transition Economy;Executive Insights;Scale Development;Connected Firms;Foreign Firms;Perspective;Innovation,Business,"Despite increasing attention to the role of social ties in emerging economies, few studies have explicitly distinguished the differential roles of business versus political ties. Drawing on relational governance and institutional theories, this study offers a contingent view of business and political ties in China. The findings from a survey of 241 Chinese firms indicate that business ties have a stronger positive effect on performance than political ties, and both effects depend on institutional and market environments. Business ties are more beneficial when legal enforcement is inefficient and technology is changing rapidly, whereas political ties lead to greater performance when general government support is weak and technological turbulence is low. These findings indicate that firms operating in China should be cautious in their use of business and political ties and adapt their tie utilization to changing institutional and market environments.",I4: social networks,,,,
ISI:000359178800002,"Consumer Neuroscience: Applications, Challenges, and Possible Solutions","Plassmann, Hilke and Venkatraman, Vinod and Huettel, Scott and Yoon, Carolyn",JOURNAL OF MARKETING RESEARCH,2015,AUG,52,4,427-435,Consumer Neuroscience;Reverse Inference;Replication;Brain-Behavior Relationships,Ventromedial Prefrontal Cortex;Direct-Current Stimulation;Decision-Making;Self-Control;Marketing Actions;Neuroimaging Data;Neural Responses;Mental States;Brain;Neuroeconomics,Business,"The first decade of consumer neuroscience research has produced groundbreaking work in identifying the basic neural processes underlying human judgment and decision making, with the majority of such studies published in neuroscience journals and influencing models of brain function. Yet for the field of consumer neuroscience to thrive in the next decade, the current emphasis on basic science research must be extended into marketing theory and practice. The authors suggest five concrete ways that neuroscientific methods can be fruitfully applied to marketing. They then outline three fundamental challenges facing consumer neuroscientists and offer potential solutions for addressing them. The authors conclude by describing how consumer neuroscience can become an important complement to research and practice in marketing.",I5: Theory and philosophy of science,,,,
ISI:000352112500007,The Braggart's Dilemma: On the Social Rewards and Penalties of Advertising Prosocial Behavior,"Berman, Jonathan Z. and Levine, Emma E. and Barasch, Alixandra and Small, Deborah A.",JOURNAL OF MARKETING RESEARCH,2015,FEB,52,1,90-104,Prosocial Behavior;Altruism;Bragging;Self-Promotion;Signaling,Self-Interest;Persuasion Knowledge;Correspondence Bias;No Good;Responsibility;Identity;Motives;Choice;Others;Model,Business,"People often brag about, or advertise, their good deeds to others. Seven studies investigate how bragging about prosocial behavior affects perceived generosity. The authors propose that bragging conveys information about an actor's good deeds, leading to an attribution of generosity. However, bragging also signals a selfish motivation (a desire for credit) that undermines the attribution of generosity. Thus, bragging has a positive effect when prosocial behavior is unknown because it informs others that an actor has behaved generously. However, bragging does not help-and often hurts-when prosocial behavior is already known, because it signals a selfish motive. In addition, the authors demonstrate that conspicuous cause marketing products have effects akin to bragging by signaling an impure motive for doing good deeds. Finally, the authors argue that bragging about prosocial behavior is unique because it undermines the precise information that the braggart is trying to convey (generosity). In contrast, bragging about personal achievements does not affect perceptions of the focal trait conveyed in the brag. These findings underscore the strategic considerations inherent in signaling altruism.",I1: Ethics and social responsibility,,,,
ISI:000340863300008,A Topical History of JMR,"Huber, Joel and Kamakura, Wagner and Mela, Carl F.",JOURNAL OF MARKETING RESEARCH,2014,FEB,51,1,84-91,,,Business,"Using subject indexes and text mining of author abstracts, the authors track the evolution of content in Journal of Marketing Research since its inception 50 years ago. These data reveal that the journal has expanded beyond its initial emphasis on marketing research methods and advertising to increase its coverage of other substantive topics and consumer behavior. Moreover, a joint space of topics and editors reveals that editorial orientations appear largely evolutionary rather than revolutionary and that a major shift in journal coverage occurs at the time Marketing Science began publication. The authors conclude their analysis with several policy recommendations.",J1:Journal historical coverage analysis,,,,
